name;Q4_2017;Q3_2017;Q2_2017;Q1_2017;Q4_2016;Q3_2016;Q2_2016;Q1_2016;Q4_2015;Q3_2015;Q2_2015;Q1_2015;Q4_2014;Q3_2014;Q2_2014;Q1_2014;Q4_2013;Q3_2013;Q2_2013;Q1_2013;Q4_2012;Q3_2012;Q2_2012;Q1_2012;Q4_2011;Q3_2011;Q2_2011;Q1_2011;Q4_2010;Q3_2010;Q2_2010;Q1_2010;2017;2016;2015;2014;2013;2012;2011;2010
Dönen Varlıklar;null;716716000;1348493000;1258641000;1163552000;1137549000;1085743000;1235454000;1090342000;1078023000;1003073000;1088955000;1035211000;1053358000;1058205000;1136667000;1139529000;1187980000;1158204000;1154033000;1069213000;1140123000;1121648000;1125214000;1112121000;1120148000;1075986000;1023642000;966170000;962418000;971930000;992289000;null;1163552000;1090342000;1035211000;1139529000;1069213000;1112121000;966170000
 Nakit ve Nakit Benzerleri;null;499571000;444076000;683538000;661541000;561984000;488737000;709207000;699023000;640873000;544227000;644542000;648606000;643100000;614556000;684741000;719594000;704342000;678131000;701133000;705168000;671130000;663298000;704563000;761996000;756150000;689519000;670605000;656127000;626878000;626165000;666865000;null;661541000;699023000;648606000;719594000;705168000;761996000;656127000
 Finansal Yatırımlar;null;338000;339000;2513000;3836000;3634000;3554000;894000;2065000;834000;1278000;1248000;763000;772000;733000;746000;308000;628000;317000;748000;372000;417000;1468000;1489000;1404000;1464000;2968000;3836000;3419000;2895000;3254000;4995000;null;3836000;2065000;763000;308000;372000;1404000;3419000
 Ticari Alacaklar;null;133582000;147968000;392814000;340094000;388586000;375300000;342334000;219104000;274483000;285272000;269471000;212104000;238849000;238272000;236204000;207814000;264469000;270962000;236854000;174089000;268167000;278512000;250797000;202097000;230438000;249018000;227021000;193096000;217420000;220136000;192005000;null;340094000;219104000;212104000;207814000;174089000;202097000;193096000
 Finans Sektörü Faaliyetlerinden Alacaklar;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
 Diğer Alacaklar;null;2043000;1942000;1549000;2038000;21354000;46382000;363000;307000;1059000;1062000;218000;207000;2996000;6839000;4781000;865000;8324000;8150000;215000;264000;921000;763000;772000;804000;771000;4765000;787000;746000;789000;828000;802000;null;2038000;307000;207000;865000;264000;804000;746000
 Stoklar;null;64696000;93512000;132496000;128248000;141060000;139406000;139481000;133900000;141602000;145877000;145616000;154790000;151706000;184746000;192835000;198343000;183976000;181911000;191034000;169994000;170481000;160288000;147437000;135819000;116883000;99399000;101207000;96156000;87994000;90525000;90955000;null;128248000;133900000;154790000;198343000;169994000;135819000;96156000
 Canlı Varlıklar;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
 Diğer Dönen Varlıklar;null;16486000;29823000;45731000;27795000;20931000;32364000;43175000;35943000;19172000;25357000;27860000;18741000;15935000;13059000;17360000;12605000;26241000;18733000;24049000;19326000;29007000;17319000;20156000;10001000;14442000;30317000;20186000;16626000;26442000;31022000;36667000;null;27795000;35943000;18741000;12605000;19326000;10001000;16626000
 (Ara Toplam);null;716716000;717660000;1258641000;1163552000;1137549000;1085743000;1235454000;1090342000;1078023000;1003073000;1088955000;1035211000;1053358000;1058205000;1136667000;1139529000;1187980000;1158204000;1154033000;1069213000;1140123000;1121648000;1125214000;1112121000;1120148000;1075986000;1023642000;966170000;962418000;971930000;992289000;null;1163552000;1090342000;1035211000;1139529000;1069213000;1112121000;966170000
 Satış Amacıyla Elde Tutulan Duran Varlıklar;null;0;630833000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Duran Varlıklar;null;2659891000;2640425000;2819751000;2829151000;2350533000;2353741000;2309520000;2279488000;2334829000;2326127000;2225898000;2228274000;2286723000;2296270000;2282087000;2297690000;2231751000;2249528000;2279227000;2291488000;1924859000;1935667000;1930973000;1919646000;1735318000;1698197000;1696213000;1696054000;1503286000;1507241000;1504628000;null;2829151000;2279488000;2228274000;2297690000;2291488000;1919646000;1696054000
 Ticari Alacaklar;null;0;0;0;7000;40000;81000;121000;162000;203000;243000;284000;325000;660000;723000;1050000;1930000;2170000;2257000;2669000;2916000;1295000;652000;733000;5700000;6841000;6421000;4607000;3234000;0;0;0;null;7000;162000;325000;1930000;2916000;5700000;3234000
 Finans Sektörü Faaliyetlerinden Alacaklar;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
 Diğer Alacaklar;null;239000;214000;210000;436000;13000;13000;29000;45000;50000;50000;46000;46000;46000;46000;45000;50000;50000;52000;63000;61000;146000;341000;73000;67000;74000;69000;68000;75000;66000;70000;59000;null;436000;45000;46000;50000;61000;67000;75000
 Finansal Yatırımlar;null;2156699000;2156715000;2161159000;2160218000;1680488000;1680753000;1680215000;1682657000;1720621000;1720420000;1720129000;1720122000;1767590000;1767430000;1766835000;1767384000;1754589000;1754563000;1755114000;1755762000;1463503000;1462852000;1462027000;1463931000;1276665000;1273920000;1274436000;1275898000;1091736000;1092328000;1091838000;null;2160218000;1682657000;1720122000;1767384000;1755762000;1463931000;1275898000
 Özkaynak Yöntemiyle Değerlenen Yatırımlar;null;99803000;95052000;92577000;83693000;85337000;88615000;112216000;86348000;114984000;112039000;110474000;114369000;116378000;126845000;129106000;132643000;93596000;99556000;121178000;129618000;14379000;14527000;14495000;14816000;23993000;25103000;25065000;25349000;28101000;28215000;26136000;null;83693000;86348000;114369000;132643000;129618000;14816000;25349000
 Canlı Varlıklar;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
 Yatırım Amaçlı Gayrimenkuller;null;367818000;361688000;360075000;363017000;366734000;364880000;296210000;295971000;293857000;293360000;213797000;210449000;206411000;199929000;202147000;204340000;197034000;194096000;195401000;204997000;197971000;199016000;199836000;200358000;199874000;200500000;201805000;203193000;203928000;205202000;206503000;null;363017000;295971000;210449000;204340000;204997000;200358000;203193000
